EXPOCODE 316N200310 (316N173_2)  WHP-ID A22      CRUISE DATES 102303 TO 111503    20050523SIOWHPOSA                                                                                                            
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  CFC113    TCO2  ALKALI    CCL4          QUALT1
                                            DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG PMOL/KG UMOL/KG UMOL/KG PMOL/KG                               
                         *******                         ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                               
       1       1       5       5   800.0   800.0  6.1812 34.7765   137.9  6.1082 34.7799   136.1   24.04   31.30    0.00    2.09   0.146   0.082   0.006  2213.9    -9.0   0.163 222222222222292
       1       1       6       6   800.0   800.0  6.1815 34.7765   137.9  6.1085 34.7732   136.5   23.94   31.40    0.00    2.09   0.158   0.087   0.001  2214.9    -9.0  -9.000 222222222222299
       1       1       3       3   900.9   900.9  5.5863 34.8561   157.6  5.5074 34.8578   157.7   24.64   28.61    0.00    1.94   0.083   0.054   0.006  2218.5    -9.0   0.133 222222222222392
       1       1       4       4   901.0   901.0  5.5866 34.8561   158.0  5.5077 34.8576   157.7   24.65   28.65    0.00    1.94   0.093   0.056   0.001  2210.4    -9.0  -9.000 222222222222299
       1       1       1       1   975.1   975.1  5.1859 34.9076   172.1  5.1028 34.9052   173.2   25.34   26.57    0.01    1.81   0.061   0.042   0.005  2204.6    -9.0   0.133 222222222222292
       1       1       2       2   975.5   975.5  5.1826 34.9080   172.1  5.0995 34.9077   173.1   25.35   26.62    0.00    1.81   0.071   0.038   0.000  2205.8    -9.0  -9.000 222222222222299
       2       1      10      10     3.0     3.0 28.7371 36.5507   114.2 28.7363 36.5444   195.7    0.80    0.17    0.00    0.03   1.665   1.040   0.139  2040.8  2400.4  -9.000 222222222222269
       2       1       9       9    25.5    25.5 28.1445 36.5531   200.1 28.1385 36.5531   197.5    1.01    0.17    0.00    0.03   1.726   1.062   0.147  2043.3  2400.4  -9.000 222222222222229
       2       1       8       8    50.5    50.5 26.0592 36.7163   192.6 26.0478 36.7082   193.9    0.81    0.17    0.01    0.03   1.845   1.124   0.141  2060.9  2396.3  -9.000 222222222222229
       2       1       7       7    75.8    75.8 22.6201 36.9751   160.7 22.6047 36.9622   157.2    1.42    4.25    0.03    0.23   2.045   1.229   0.068  2128.0  2409.5  -9.000 222222222222229
       2       1       6       6   100.5   100.5 21.4660 36.8878   148.8 21.4463 36.8808   151.2    1.93    5.66    0.02    0.30   2.090   1.243   0.046  2135.3  2402.4  -9.000 222222222222229
       2       1       5       5   125.5   125.5 20.5466 36.7895   145.1 20.5227 36.7788   146.0    2.34    7.07    0.02    0.38   2.115   1.237   0.024  2143.6  2396.8   0.174 222222222222222
       2       1       4       4   150.2   150.2 20.1109 36.7439   144.6 20.0828 36.7367   145.3    2.45    7.52    0.03    0.40   2.152   1.270   0.033  2146.2  2393.9  -9.000 222222222222229
       2       1       2       2   200.1   200.1 17.0655 36.2965   136.7 17.0321 36.2879   136.8    4.59   12.68    0.21    0.73   2.098   1.191   0.019  2159.7  2369.3  -9.000 222222222222229
       2       1       3       3   200.2   200.2 17.0635 36.2960   136.7 17.0301 36.2863    -9.0    4.48   12.61    0.20    0.73   2.107   1.192   0.018    -9.0    -9.0  -9.000 222292222222999
       2       1       1       1   218.8   218.8 16.4965 36.2019   139.7 16.4608 36.2077   139.7    4.70   13.27    0.04    0.75   2.074   1.173   0.018  2158.4  2365.1  -9.000 222222222222269
       3       1      13      13     2.6     2.6 29.1529 36.5877   194.4 29.1523 36.5888   192.8    0.73    0.06    0.00    0.02   1.517   0.918   0.094  2039.7  2389.9   1.659 222222222222262
       3       1      12      12    25.2    25.2 28.0071 36.5741   198.9 28.0011 36.5862   197.2    0.74    0.06    0.00    0.02   1.612   0.977   0.088  2042.8  2388.8   1.332 222222222222222
       3       1      11      11    50.8    50.8 25.4209 36.7729   192.9 25.4097 36.7722   191.8    0.84    0.06    0.00    0.02   1.777   1.062   0.070  2072.1  2399.4   0.533 222222222222222
       3       1      10      10    75.1    75.1 23.4365 36.9570   160.9 23.4209 36.9507   161.6    1.36    3.08    0.16    0.19   1.886   1.118   0.063  2118.2  2408.3   0.233 222222222222222
       3       1       9       9    99.1    99.1 22.0293 36.9310   150.3 22.0095 36.9241   150.1    1.86    5.38    0.05    0.28   1.972   1.154   0.038  2137.9  2403.7   0.180 222222222222222
       3       1       8       8   125.3   125.3 20.0103 36.7458   149.5 19.9869 36.7302   148.3    2.27    7.33    0.02    0.38   2.055   1.195   0.019  2146.2  2393.0   0.187 222222222222222
       3       1       7       7   150.4   150.4 18.9002 36.5862   145.0 18.8732 36.5749   145.9    2.78    9.13    0.01    0.49   2.072   1.172   0.013  2150.9  2393.9   0.211 222222222222222
       3       1       6       6   200.5   200.5 17.1913 36.3219   144.9 17.1576 36.3081   146.6    3.70   11.73    0.01    0.64   2.023   1.132   0.012  2154.7  2379.8   0.260 222222222222222
       3       1       5       5   250.9   250.9 15.7690 36.0782   138.0 15.7293 36.0699   138.1    5.23   14.97    0.01    0.85   1.934   1.058   0.014  2162.8  2366.4   0.273 222222222222222
       3       1       4       4   300.8   300.8 13.5530 35.6879   128.8 13.5100 35.6790   129.5    7.78   19.76    0.01    1.16   1.647   0.874   0.012  2178.6  2346.0   0.289 222222222222222
       3       1       3       3   401.2   401.2 10.2863 35.1585   118.7 10.2384 35.1534   119.6   13.18   26.99    0.01    1.65   1.076   0.573   0.012  2197.9  2324.6   0.330 222222222222222
       3       1       2       2   500.8   500.8  8.5301 34.9152   117.7  8.4766 34.9103   118.9   17.27   30.69    0.00    1.92   0.687   0.372   0.008  2207.2  2312.9   0.319 222222222222222
       3       1       1       1   573.4   573.4  8.0650 34.8651   118.4  8.0054 34.8629   120.0   18.60   31.52    0.01    1.97   0.573   0.318   0.009  2211.0  2309.9   0.309 222222222666266
